radius, velocity
13.149920269122301, 233.5968900216832
13.168143274751344, 238.01127666582704
13.167113063889978, 227.11679680688223
13.20481012418184, 211.5166340508806
13.195211560128406, 265.3542849392571
13.194314093523687, 255.86357559435004
13.215697461822629, 223.08858576660015
13.21528191458443, 218.69417372265602
13.213974672230933, 204.87008583441514
13.213273436266473, 197.45451551025943
13.212450999024206, 188.7572416732867
13.211767077528005, 181.524771850962
13.211410894180979, 177.75813295615276
13.210878268157416, 172.12561275697044
13.210295347726056, 165.96122919532658
13.488492680720796, 259.95282013524246
13.489283374771254, 268.31440971885837
14.183240048200183, 228.13910794210537
14.183870583419253, 234.80701788378445
14.722618920508864, 236.180271647517
14.734048201006136, 227.59285811164287
15.596988849070193, 291.5463757726066
15.596609992014734, 287.5399624111139
16.668515535818894, 231.16026622231695
