
HII region,l,b,# of refs
GAL 020.98+00.09,21.0,0.1,4
LBN 021.10-00.60,21.1,-0.6,0
[LPH96] 021.143-0.298,21.1,-0.3,1
[WAM82] 021.348-0.628,21.4,-0.6,0
[WAM82] 021.499-0.886,21.5,-0.9,0
[LPH96] 021.558-0.112,21.6,-0.1,1
[LPH96] 021.666-0.261,21.7,-0.3,1
IRAS 18282-0951,21.9,0.0,11
[WBH98] 18282-0951,21.9,0.0,2
[L89b] 21.902-00.368,21.9,-0.4,1
LBN 022.02+00.16,22.0,0.0,6
[LPH96] 022.039+0.045,22.0,0.1,1
[LPH96] 022.162-0.157,22.2,-0.2,1
[LPH96] 022.309-0.050,22.3,-0.1,1
[WBH98] 18290-0924,22.4,0.1,2
[LPH96] 022.400-0.370,22.4,-0.4,1
[L89b] 22.398+00.083,22.4,0.1,1
RCW 170,22.5,0.3,0
[ABG85] 44,22.8,-0.5,3
LBN 022.90+00.63,22.9,0.7,3
[LPH96] 022.935-0.072,22.9,-0.1,1
[L89b] 22.947-00.315,23.0,-0.3,1
[L89b] 22.982-00.356,23.0,-0.4,2
[LPH96] 023.000+0.219,23.0,0.2,1
[L89b] 23.072-00.248,23.1,-0.2,1
[L89b] 23.067-00.367,23.1,-0.4,1
[L89b] 23.115+00.556,23.1,0.6,2
LBN 023.16+00.49,23.1,0.6,3
RCW 171,23.1,0.6,0
[LPH96] 023.162+0.023,23.2,0.0,1
[WBH98] 18317-0845,23.2,-0.2,2
IRAS 18317-0845,23.2,-0.2,14
[L89b] 23.254-00.268,23.2,-0.3,1
[L89b] 23.281+00.298,23.3,0.3,1
[WC89] 023.46-0.20B,23.4,-0.2,1
GAL 023.42-00.21,23.4,-0.2,2
[WBH98] 18319-0834,23.4,-0.2,4
[WC89] 023.46-0.20A,23.4,-0.2,1
[WBH98] 18310-0825,23.5,0.1,2
GAL 023.46-00.20,23.5,-0.2,4
IRAS 18310-0825,23.5,0.1,9
[L89b] 23.538-00.041,23.5,0.0,1
[L89b] 23.613-00.376,23.6,-0.4,1
[WBH98] 18324-0820,23.7,-0.2,2
[WAM82] 023.705+0.173,23.7,0.2,1
EQ 1831-0809,23.7,0.2,11
[L89b] 23.706-00.202,23.7,-0.2,1
[WC89] 023.71+0.17A,23.7,0.2,1
[WBH98] 18311-0809,23.7,0.2,2
[L89b] 23.817+00.224,23.8,0.2,1
[LPH96] 023.819+0.404,23.8,0.4,1
GAL 023.87-00.12,23.9,-0.1,4
[L89b] 23.869-00.119,23.9,-0.1,1
[L89b] 23.909+00.066,23.9,0.1,3
[WBH98] 18317-0757,24.0,0.2,2
[WC89] 023.96+0.15A,24.0,0.2,1
IRAS 18316-0757,24.0,0.2,2
[ABG85] 43,24.0,0.2,10
[LPH96] 023.998-0.099,24.0,-0.1,1
[L89b] 24.135+00.122,24.1,0.1,1
[L89b] 24.132-00.067,24.1,-0.1,1
[LPH96] 024.139+0.427,24.1,0.4,1
[L89b] 24.194+00.203,24.2,0.2,1
[L89b] 24.217-00.053,24.2,-0.1,1
[L89b] 24.303-00.151,24.3,-0.2,2
[WAM82] 024.391+0.072,24.4,0.1,1
